ZPID,Street, City, State_Zipcode, Bedroom, Bathroom, Sqft, Zestimate
19740409,1394 Mocho Ct, San Jose, CA 95121 ,3 beds,2 baths,1,321 sqft,$689,147
19572112,1737 Cape Aston Ct, San Jose, CA 95133 ,4 beds,3 baths,2,247 sqft,$1,018,471
19691109,2834 La Rhee Dr, San Jose, CA 95124 ,3 beds,3 baths,2,044 sqft,$1,346,568
19709529,410 Colony Crest Dr, San Jose, CA 95123 ,2 beds,1 bath,919 sqft,$447,874
19699197,4411 Calle De Farrar, San Jose, CA 95118 ,4 beds,2 baths,1,956 sqft,$1,088,353
19799565,7230 Via Sendero, San Jose, CA 95135 ,2 beds,2 baths,1,588 sqft,$690,688
19842527,7182 Chantilley Ct, San Jose, CA 95139 ,3 beds,2 baths,1,479 sqft,$796,317
19799179,8487 Grenache Ct, San Jose, CA 95135 ,2 beds,2 baths,1,497 sqft,$624,218
2099136515,Towns / Plan 2B Plan, Orchard Park San Jose, CA 95131 ,3 beds,3.5 baths,1,718 sqft,$989,971
2098106056,Residence 1 - Plan 1712 Plan, Avenue One : Grand at Avenue One San Jose, CA 95123 ,3 beds,3.5 baths,1,712 sqft,$787,483
2099136513,Flats / Plan 1 Plan, Orchard Park San Jose, CA 95131 ,2 beds,2.5 baths,1,661 sqft,$966,681
19758943,1367 Scossa Ave, San Jose, CA 95118 ,4 beds,2 baths,1,554 sqft,$971,981
82958767,20 S 2nd St UNIT 227, San Jose, CA 95113 ,1 bed,1 bath,678 sqft,$454,422
82951796,20 S 2nd St UNIT 225, San Jose, CA 95113 ,1 bed,1 bath,678 sqft,$454,422
82960209,20 S 2nd St UNIT 229, San Jose, CA 95113 ,2 beds,2 baths,1,170 sqft,$623,207
19695020,1536 Willowdale Dr, San Jose, CA 95118 ,4 beds,2 baths,1,233 sqft,$836,495
19833818,6222 Shadelands Dr, San Jose, CA 95123 ,3 beds,2 baths,1,232 sqft,$823,968
19777669,3527 Ivalynn Cir, San Jose, CA 95132 ,2 beds,2 baths,934 sqft,$566,205
2099136518,Towns / Plan 1B Plan, Orchard Park San Jose, CA 95131 ,2 beds,3 baths,1,622 sqft,$955,539
19759557,1348 Shawn Dr APT 1, San Jose, CA 95118 ,2 beds,1 bath,810 sqft,$413,775
19839673,6769 Moselle Dr, San Jose, CA 95119 ,3 beds,1 bath,1,014 sqft,$741,577
19641709,6917 Chantel Ct, San Jose, CA 95129 ,2 beds,3 baths,1,051 sqft,$790,091
2099112200,Plan D2 Plan, The Globe San Jose, CA 95113 ,2 beds,2 baths,1,194 sqft,$693,777
89473017,77 Muller Pl, San Jose, CA 95126 ,3 beds,3 baths,1,482 sqft,$844,949
19726068,1779 Ocala Ave, San Jose, CA 95122 ,5 beds,3 baths,1,580 sqft,$635,321
2097665946,3977 Whinney Place Way, San Jose, CA 95121 ,4 beds,2 baths,1,478 sqft,$854,970
2098168039,35 Clayton Ave, San Jose, CA 95110 ,5 beds,3 baths,2,749 sqft,$1,132,427
19701989,4714 Holston River Ct, San Jose, CA 95136 ,4 beds,3 baths,1,760 sqft,$684,151
2097666423,37 S 8th St APT 4, San Jose, CA 95112 ,4 beds,4 baths,2,174 sqft,$1,656,990
19574593,411 Park Ave UNIT 235, San Jose, CA 95110 ,2 beds,2 baths,1,048 sqft,$536,302
59682269,4561 Middle Park Dr, San Jose, CA 95135 ,5 beds,4 baths,3,815 sqft,$1,637,204
19611568,1428 Lamore Dr, San Jose, CA 95130 ,3 beds,2 baths,1,219 sqft,$1,130,139
2099071465,Plan 3 Plan, Metro at Communications Hill San Jose, CA 95136 ,4 beds,3.5 baths,2,002 sqft,$815,475
19747781,5450 Copeland Ln, San Jose, CA 95124 ,4 beds,2 baths,1,852 sqft,$1,285,483
19695912,4161 Rondeau Dr, San Jose, CA 95124 ,3 beds,2 baths,-- sqft,$1,210,349
19686806,2251 Lansford Ave, San Jose, CA 95125 ,3 beds,2 baths,1,294 sqft,$1,085,560
19568661,428 N 2nd St, San Jose, CA 95112 ,6 beds,5 baths,1,815 sqft,$1,235,552
19684656,1434 Alma Loop, San Jose, CA 95125 ,2 beds,2 baths,1,071 sqft,$559,179
19558345,1063 Chapman St, San Jose, CA 95126 ,3 beds,1 bath,1,304 sqft,$814,341
19574482,95 Hobson St APT 10A, San Jose, CA 95110 ,2 beds,1 bath,907 sqft,$478,352
19583651,2069 University Ave, San Jose, CA 95128 ,5 beds,4 baths,3,526 sqft,$1,856,183
19831282,5911 Cahalan Ave, San Jose, CA 95123 ,5 beds,3 baths,1,495 sqft,$804,238
19776355,345 Pasquale Ct, San Jose, CA 95133 ,2 beds,2.5 baths,1,465 sqft,$485,297
19683915,1543 Carmel Dr, San Jose, CA 95125 ,4 beds,3 baths,2,111 sqft,$1,356,100
19696253,1453 Blackstone Ave, San Jose, CA 95118 ,4 beds,2 baths,1,363 sqft,$886,854
19683935,1528 Padres Dr, San Jose, CA 95125 ,5 beds,3 baths,4,459 sqft,$2,715,127
19673500,3199 Leigh Ave, San Jose, CA 95124 ,3 beds,2 baths,1,260 sqft,$821,682
2099112199,C1 Plan, The Globe San Jose, CA 95113 ,1 bed,1 bath,873 sqft,$524,834
